phase,reported_shape,reported_size_nm,size_basis,experimental_gap_eV,experimental_transition,theory_gap_eV,theory_transition,source_note
CuSbS2,plates,325 ± 25; thickness 19 ± 1,lateral; thickness,1.1,indirect,1.6,indirect,Phase-level table context; no unique batch ID.
Cu3SbS3,spheres,30 ± 5,diameter,1.4,direct,1.5,direct,Phase-level table context; no unique batch ID.
Cu3SbS4,oblate,23 ± 4,size axis unspecified,1.2,indirect,2.5,indirect,Phase-level table context; no unique batch ID.
Cu12Sb4S13,hollow structures,100 ± 30,size basis as reported; exact dimension definition unspecified,1.6,direct,metallic,not applicable,The calculated stoichiometric model is metallic; the separately discussed 1.7 eV gap is above EF.
