solvent_ligand_pair,printed_chi12_value,printed_chi12_unit,NC_diameter_nm,basis
octane-AOT,0.02375,J mol^-1,7.6,growth solvent comparison
isooctane-AOT,0.02412,J mol^-1,7.7,growth solvent comparison
decane-AOT,0.05058,J mol^-1,7.0,growth solvent comparison
cyclohexane-AOT,0.17272,J mol^-1,4.6,growth solvent comparison
cumene-AOT,0.41396,J mol^-1,4.7,growth solvent comparison
xylene-AOT,0.49455,J mol^-1,3.9,growth solvent comparison
hexane-C12,0.06424,J mol^-1,7.7,postgrowth redispersion comparison
cyclohexane-C12,0.03062,J mol^-1,9.3,postgrowth redispersion comparison
